X,Y
0.332885,0.792734
0.47214,0.265338
0.532777,0.381239
0.483082,0.15522
0.789782,0.863361
0.502231,0.989534
0.0908696,0.245547
0.910659,0.445277
0.769624,0.0741498
0.236127,0.593845
0.750995,0.969252
0.210868,0.0539549
0.819962,0.0986092
0.324156,0.0846086
0.0167175,0.971665
0.778524,0.654208
0.272136,0.794129
0.923058,0.830654
0.808991,0.719234
0.167729,0.0232155
0.183718,0.743255
0.894087,0.913545
0.948856,0.423979
0.811819,0.248117
0.105948,0.674059
0.908278,0.423612
0.640085,0.916068
0.349761,0.435726
0.254665,0.150539
0.102542,0.41991
0.431454,0.44246
0.419394,0.749021
0.787974,0.475846
0.548367,0.404599
0.0957992,0.0979418
0.10727,0.890499
0.623657,0.80554
0.716822,0.626056
0.128419,0.341213
0.766174,0.0824128
0.111998,0.344708
0.50727,0.686682
0.0595241,0.421264
0.187288,0.742198
0.120128,0.992849
0.815965,0.921626
0.768803,0.272395
0.135964,0.141786
0.995249,0.142679
0.999533,0.155528
0.964953,0.962695
0.0103214,0.471968
0.361074,0.569588
0.0690416,0.381577
0.159391,0.882205
0.217863,0.631042
0.924181,0.708194
0.610118,0.247397
0.00788415,0.508845
0.156386,0.380483
0.782356,0.0541682
0.40566,0.925474
0.436151,0.39445
0.523141,0.436637
0.55171,0.597429
0.996249,0.952561
0.700872,0.558016
0.568105,0.139105
0.936595,0.344993
0.300929,0.713457
0.0749739,0.0857174
0.65297,0.462783
0.994604,0.310796
0.543836,0.255083
0.174768,0.319703
0.241423,0.594056
0.300175,0.0407966
0.66843,0.302281
0.434456,0.900017
0.587163,0.445061
0.1438,0.853045
0.135645,0.784777
0.746945,0.900532
0.239934,0.57133
0.343177,0.769699
0.33119,0.309508
0.898275,0.300584
0.911856,0.559539
0.172033,0.355326
0.970129,0.95833
0.654287,0.596734
0.301696,0.612629
0.448182,0.598389
0.123602,0.374934
0.518816,0.741813
0.646508,0.853698
0.0956846,0.171755
0.684541,0.0866274
0.946439,0.796905
0.576679,0.240337
0.338627,0.30629
0.824089,0.468611
0.951586,0.30855
0.792288,0.976373
0.896441,0.490602
0.548188,0.399312
0.242841,0.432245
0.749862,0.935169
0.390903,0.908137
0.0598681,0.202697
0.729842,0.460967
0.476382,0.544332
0.594416,0.344159
0.28153,0.678943
0.99451,0.728453
0.102292,0.215436
0.832445,0.906875
0.854172,0.0665052
0.752854,0.214168
0.524036,0.468752
0.312935,0.495375
0.763284,0.518226
0.829012,0.199423
0.708659,0.425092
0.516521,0.16873
0.846176,0.684701
0.762236,0.901609
0.344009,0.75593
0.908558,0.134616
0.49628,0.98371
0.210171,0.346614
0.547283,0.186823
0.930214,0.0984395
0.473236,0.682984
0.910396,0.0294594
0.124185,0.172445
0.282743,0.0648505
0.942007,0.314757
0.123722,0.397965
0.590135,0.405942
0.660458,0.324129
0.636799,0.687556
0.74634,0.735276
0.778418,0.865413
0.995278,0.641688
0.848905,0.550872
0.497364,0.201752
0.848042,0.0366975
0.775421,0.508424
0.0880868,0.474037
0.147274,0.232673
0.535631,0.344893
0.608508,0.192922
0.44647,0.82929
0.868948,0.414576
0.784526,0.531232
0.41326,0.655107
0.384519,0.606908
0.309187,0.513443
0.435443,0.492789
0.298721,0.600305
0.333643,0.533523
0.91513,0.593104
0.300689,0.682807
0.93024,0.544339
0.707178,0.540611
0.0430124,0.910044
0.104867,0.492409
0.921122,0.298277
0.135061,0.96212
0.352104,0.817594
0.301561,0.329137
0.799273,0.389137
0.233261,0.410842
0.0159803,0.581184
0.966932,0.220663
0.684129,0.154108
0.0890795,0.158558
0.876322,0.349109
0.48097,0.655694
0.246534,0.505285
0.331291,0.00332981
0.964073,0.18244
0.266657,0.708896
0.413934,0.986391
0.266477,0.682963
0.564291,0.0338543
0.990021,0.287661
0.717203,0.0327535
0.487944,0.880383
0.598767,0.474027
0.977763,0.25572
0.879957,0.441685
0.402913,0.755906
0.507128,0.298387
0.988094,0.901143
0.51303,0.492029
0.534828,0.857765
0.458965,0.830421
0.884678,0.778428
0.0358634,0.756766
0.97,0.790128
0.688535,0.209483
0.786449,0.84271
0.43312,0.452002
0.80017,0.457254
0.0683104,0.0932691
0.573623,0.876141
0.307328,0.267305
0.60238,0.203561
0.256327,0.0918508
0.736881,0.760945
0.19994,0.395107
0.558463,0.0855987
0.656901,0.539144
0.39081,0.346549
0.456538,0.0283648
0.72767,0.946854
0.768893,0.779104
0.396324,0.0115989
0.942696,0.892923
0.365208,0.0439081
0.96365,0.0688572
0.282569,0.14142
0.842775,0.525126
0.788044,0.655171
0.451511,0.548179
0.249578,0.661878
0.191221,0.855538
0.0323832,0.26375
0.85054,0.0201049
0.903861,0.185357
0.299221,0.00235112
0.515331,0.160797
0.516157,0.0574314
0.248927,0.712811
0.220222,0.276603
0.873773,0.496912
0.605744,0.743155
0.201556,0.551481
0.741878,0.746449
0.569057,0.134482
0.237246,0.390389
0.267551,0.737935
0.480807,0.931444
0.784011,0.871104
0.64147,0.186728
0.336741,0.61016
0.962821,0.140174
0.902557,0.282245
0.69919,0.279496
0.496626,0.787158
0.768524,0.583155
0.0863576,0.412545
0.640855,0.857478
0.632412,0.950322
0.0600588,0.40747
0.349482,0.750721
0.367002,0.203777
0.87787,0.361785
0.521252,0.688391
0.780311,0.693151
0.795992,0.229223
0.558552,0.59104
0.60814,0.000894683
0.0369363,0.788502
0.350824,0.295517
0.750283,0.00699833
0.620891,0.321219
0.732573,0.35075
0.0610166,0.505732
0.845897,0.983682
0.748259,0.986358
0.721167,0.656037
0.00786144,0.127262
0.899987,0.0873943
0.836524,0.454741
0.831571,0.218166
0.708016,0.618887
0.636307,0.409347
0.887074,0.0510144
0.398428,0.377083
0.638246,0.998646
0.235338,0.325637
0.976462,0.398823
0.0105651,0.568258
0.713237,0.372804
0.71349,0.622569
0.521678,0.846153
0.295213,0.652671
0.447145,0.161543
0.0615925,0.185691
0.912246,0.114781
0.118777,0.283512
0.982226,0.272111
0.365408,0.414561
0.52671,0.413415
0.262736,0.802461
0.966184,0.653392
0.56544,0.35194
0.0532421,0.839411
0.973284,0.986177
0.673211,0.659058
0.781949,0.209335
0.297679,0.0891564
0.451873,0.627351
0.884207,0.87392
0.974443,0.471034
0.675159,0.404618
0.413691,0.899821
0.284247,0.341558
0.563306,0.489771
0.575043,0.753126
0.789831,0.69726
0.853557,0.736613
0.262426,0.594693
0.0119622,0.0491346
0.805207,0.106192
0.76419,0.740201
0.565439,0.32688
0.869244,0.391169
0.375562,0.0654826
0.565896,0.0221965
0.0571251,0.102244
0.411026,0.115504
0.28065,0.876313
0.184309,0.689765
0.874424,0.450707
0.0255672,0.707704
0.384846,0.10973
0.238022,0.438347
0.30565,0.0633872
0.349097,0.281546
0.941314,0.66732
0.641274,0.889314
0.704303,0.220208
0.0305893,0.11494
0.799214,0.397497
0.737814,0.438493
0.751015,0.308368
0.743228,0.432566
0.130178,0.903006
0.825699,0.527829
0.224899,0.88493
0.0217052,0.799226
0.583538,0.522576
0.932607,0.323301
0.718369,0.622046
0.730138,0.423363
0.457869,0.410529
0.755713,0.27148
0.762173,0.835345
0.635752,0.0868337
0.414585,0.926191
0.496735,0.625197
0.681145,0.00428316
0.98714,0.863786
0.643683,0.379685
0.368898,0.0698254
0.556056,0.637373
0.323295,0.624186
0.696304,0.77569
0.0276752,0.136934
0.45568,0.620802
0.813477,0.109225
0.741035,0.571752
0.430212,0.57761
0.885413,0.139419
0.21307,0.069457
0.36431,0.963199
0.484299,0.617466
0.756865,0.623978
0.197048,0.783696
0.576463,0.6178
0.363394,0.560043
0.648077,0.226801
0.845725,0.0963547
0.432844,0.804078
0.138548,0.568509
0.927964,0.286315
0.0920461,0.0194639
0.129275,0.717807
0.185339,0.989782
0.261284,0.392102
0.0518811,0.965125
0.849122,0.198891
0.759636,0.198928
0.388884,0.968633
0.812394,0.89789
